Scan,Time,5001 <LOAD> (VDC),5021 <DISP> (VDC),1-1p (6001),1-3p (6002),2-4p (6003),3-1p (6004),3-5p (6005),4-2p (6006),4-6p (6007),5-3p (6008),5-7p (6009),6-4p (6010),6-8p (6011),7-5p (6012),7-9p (6013),8-6p (6014),8-10p (6015),9-7p (6016),9-11p (6017),10-8p (6018),10-12p (6019),11-9p (6020),11-13p (6021),12-10p (6022),12-14p (6023),13-11p (6024),13-15p (6025),14-12p (6026),14-16p (6027),15-13p (6028),15-17p (6029),16-14p (6030),16-18p (6031),17-15p (6032),17-19p (6033),18-16p (6034),18-20p (6035),19-17p (6036),19-21p (6037),20-18p (6038),21-19p (6039),21-21p (6040)
211,2025-07-03 16:30:46.000142+00:00,0.1,0.1,57.0,57.0,42.0,85.0,15.0,100.0,0.0,63.0,85.0,84.0,85.0,40.0,68.0,9.0,4.0,43.0,84.0,75.0,19.0,53.0,81.0,11.0,95.0,12.0,95.0,91.0,88.0,58.0,10.0,48.0,24.0,51.0,6.0,67.0,32.0,93.0,41.0,16.0,15.0,4.0
212,2025-07-03 16:30:46.101362+00:00,0.1,0.1,12.0,18.0,96.0,81.0,68.0,18.0,73.0,48.0,52.0,52.0,12.0,25.0,22.0,82.0,5.0,30.0,15.0,53.0,55.0,2.0,54.0,97.0,90.0,28.0,17.0,60.0,63.0,38.0,69.0,65.0,87.0,91.0,47.0,44.0,71.0,57.0,87.0,59.0,15.0,7.0
213,2025-07-03 16:30:46.247731+00:00,0.1,0.1,93.0,17.0,47.0,28.0,82.0,100.0,30.0,92.0,35.0,67.0,100.0,44.0,35.0,62.0,98.0,27.0,37.0,69.0,86.0,37.0,58.0,32.0,73.0,57.0,9.0,67.0,4.0,42.0,15.0,61.0,64.0,100.0,36.0,42.0,55.0,25.0,49.0,77.0,16.0,81.0
214,2025-07-03 16:30:46.340718+00:00,0.1,0.1,33.0,37.0,68.0,93.0,53.0,55.0,64.0,10.0,100.0,40.0,3.0,77.0,86.0,14.0,17.0,10.0,41.0,98.0,6.0,9.0,86.0,16.0,92.0,44.0,21.0,92.0,48.0,44.0,86.0,47.0,90.0,74.0,39.0,53.0,29.0,99.0,43.0,56.0,75.0,59.0
215,2025-07-03 16:30:46.403258+00:00,0.1,0.1,28.0,68.0,48.0,7.0,9.0,83.0,96.0,66.0,49.0,45.0,82.0,76.0,42.0,27.0,14.0,11.0,30.0,84.0,70.0,80.0,30.0,34.0,8.0,84.0,22.0,13.0,49.0,12.0,27.0,41.0,85.0,91.0,21.0,59.0,74.0,23.0,64.0,95.0,26.0,48.0
216,2025-07-03 16:30:46.504110+00:00,0.1,0.1,92.0,13.0,19.0,14.0,32.0,28.0,65.0,16.0,48.0,34.0,57.0,3.0,57.0,27.0,90.0,12.0,0.0,21.0,10.0,69.0,57.0,67.0,66.0,34.0,27.0,70.0,34.0,85.0,58.0,88.0,80.0,58.0,96.0,55.0,8.0,94.0,73.0,40.0,67.0,29.0
217,2025-07-03 16:30:46.604267+00:00,0.1,0.1,37.0,85.0,15.0,31.0,58.0,31.0,72.0,6.0,2.0,3.0,99.0,39.0,5.0,70.0,65.0,23.0,17.0,57.0,16.0,13.0,84.0,76.0,78.0,65.0,33.0,81.0,6.0,93.0,64.0,84.0,68.0,43.0,37.0,62.0,86.0,71.0,64.0,17.0,95.0,24.0
218,2025-07-03 16:30:46.706226+00:00,0.1,0.1,60.0,85.0,27.0,74.0,49.0,73.0,86.0,36.0,7.0,10.0,39.0,48.0,40.0,86.0,79.0,38.0,35.0,94.0,24.0,38.0,12.0,83.0,26.0,23.0,7.0,55.0,46.0,70.0,65.0,21.0,39.0,22.0,91.0,71.0,79.0,58.0,100.0,75.0,69.0,39.0
219,2025-07-03 16:30:46.884919+00:00,0.1,0.1,30.0,78.0,83.0,12.0,95.0,61.0,76.0,77.0,56.0,39.0,7.0,62.0,93.0,69.0,61.0,16.0,49.0,68.0,3.0,6.0,13.0,46.0,100.0,40.0,63.0,60.0,60.0,20.0,50.0,66.0,64.0,32.0,44.0,30.0,86.0,30.0,4.0,58.0,48.0,43.0
220,2025-07-03 16:30:46.917839+00:00,0.1,0.1,42.0,96.0,17.0,15.0,26.0,14.0,49.0,51.0,51.0,61.0,73.0,53.0,28.0,56.0,94.0,21.0,92.0,27.0,25.0,41.0,47.0,41.0,89.0,6.0,80.0,68.0,2.0,88.0,90.0,69.0,63.0,43.0,89.0,14.0,59.0,14.0,54.0,23.0,26.0,79.0
221,2025-07-03 16:30:47.018619+00:00,0.1,0.1,30.0,16.0,88.0,90.0,48.0,81.0,8.0,12.0,77.0,16.0,83.0,21.0,37.0,49.0,14.0,45.0,57.0,94.0,80.0,51.0,37.0,73.0,50.0,50.0,27.0,61.0,38.0,10.0,31.0,13.0,83.0,83.0,71.0,81.0,12.0,94.0,80.0,60.0,73.0,85.0
222,2025-07-03 16:30:47.118536+00:00,0.1,0.1,30.0,8.0,41.0,70.0,36.0,81.0,60.0,94.0,41.0,66.0,94.0,16.0,43.0,20.0,69.0,91.0,66.0,8.0,21.0,1.0,69.0,19.0,31.0,34.0,39.0,54.0,37.0,88.0,0.0,63.0,83.0,36.0,31.0,60.0,70.0,38.0,15.0,92.0,82.0,59.0
223,2025-07-03 16:30:47.219379+00:00,0.1,0.1,53.0,26.0,66.0,36.0,31.0,29.0,79.0,78.0,85.0,33.0,54.0,48.0,5.0,39.0,59.0,77.0,8.0,84.0,18.0,5.0,18.0,12.0,67.0,46.0,74.0,4.0,4.0,44.0,29.0,55.0,23.0,91.0,60.0,0.0,44.0,91.0,46.0,6.0,97.0,54.0
224,2025-07-03 16:30:47.347844+00:00,0.1,0.1,75.0,96.0,84.0,25.0,61.0,78.0,98.0,97.0,63.0,5.0,98.0,11.0,67.0,41.0,46.0,26.0,34.0,25.0,9.0,61.0,75.0,38.0,75.0,24.0,16.0,54.0,30.0,47.0,62.0,16.0,81.0,84.0,26.0,60.0,58.0,55.0,59.0,47.0,30.0,57.0
225,2025-07-03 16:30:47.441886+00:00,0.1,0.1,4.0,32.0,25.0,89.0,79.0,36.0,67.0,16.0,59.0,12.0,65.0,33.0,92.0,32.0,33.0,66.0,67.0,66.0,81.0,81.0,75.0,81.0,93.0,45.0,35.0,82.0,18.0,64.0,43.0,73.0,51.0,52.0,79.0,86.0,82.0,100.0,19.0,99.0,2.0,35.0
226,2025-07-03 16:30:47.529055+00:00,0.1,0.1,92.0,88.0,59.0,51.0,68.0,50.0,100.0,76.0,78.0,12.0,12.0,100.0,69.0,46.0,46.0,16.0,13.0,10.0,27.0,89.0,76.0,21.0,59.0,89.0,97.0,6.0,79.0,97.0,91.0,19.0,4.0,14.0,18.0,74.0,87.0,27.0,9.0,97.0,77.0,65.0
227,2025-07-03 16:30:47.629248+00:00,0.1,0.1,100.0,72.0,5.0,75.0,33.0,35.0,61.0,8.0,77.0,23.0,22.0,99.0,95.0,86.0,65.0,27.0,84.0,86.0,36.0,73.0,41.0,30.0,86.0,24.0,58.0,4.0,59.0,85.0,27.0,45.0,69.0,14.0,41.0,90.0,77.0,100.0,93.0,40.0,62.0,30.0
228,2025-07-03 16:30:47.734796+00:00,0.1,0.1,58.0,14.0,20.0,77.0,79.0,19.0,58.0,8.0,26.0,86.0,42.0,68.0,45.0,61.0,87.0,85.0,30.0,25.0,31.0,20.0,42.0,59.0,95.0,47.0,23.0,9.0,34.0,29.0,91.0,78.0,89.0,0.0,84.0,62.0,92.0,90.0,53.0,56.0,61.0,81.0
229,2025-07-03 16:30:47.829976+00:00,0.1,0.1,42.0,84.0,89.0,71.0,60.0,69.0,74.0,91.0,82.0,14.0,54.0,44.0,31.0,69.0,50.0,100.0,68.0,2.0,94.0,44.0,8.0,67.0,33.0,91.0,71.0,11.0,95.0,32.0,36.0,67.0,57.0,56.0,78.0,60.0,22.0,32.0,81.0,4.0,72.0,90.0
230,2025-07-03 16:30:47.932660+00:00,0.1,0.1,38.0,15.0,11.0,4.0,31.0,94.0,20.0,98.0,18.0,48.0,6.0,8.0,2.0,2.0,80.0,5.0,43.0,54.0,71.0,46.0,88.0,100.0,28.0,10.0,44.0,28.0,87.0,47.0,73.0,8.0,54.0,34.0,97.0,20.0,9.0,13.0,50.0,31.0,8.0,86.0
231,2025-07-03 16:30:48.032721+00:00,0.1,0.1,43.0,63.0,55.0,57.0,94.0,11.0,95.0,32.0,0.0,35.0,1.0,98.0,32.0,11.0,27.0,40.0,27.0,51.0,32.0,93.0,77.0,86.0,96.0,86.0,33.0,39.0,96.0,46.0,18.0,32.0,100.0,99.0,56.0,87.0,86.0,72.0,22.0,32.0,66.0,99.0
232,2025-07-03 16:30:48.133217+00:00,0.1,0.1,84.0,8.0,95.0,26.0,28.0,74.0,66.0,19.0,76.0,13.0,22.0,13.0,59.0,22.0,80.0,15.0,37.0,91.0,14.0,71.0,33.0,36.0,56.0,31.0,79.0,2.0,24.0,2.0,55.0,16.0,32.0,63.0,40.0,42.0,60.0,31.0,33.0,75.0,93.0,56.0
233,2025-07-03 16:30:48.233219+00:00,0.1,0.1,84.0,37.0,31.0,99.0,35.0,12.0,1.0,18.0,49.0,19.0,75.0,81.0,44.0,37.0,44.0,90.0,9.0,66.0,5.0,67.0,15.0,49.0,99.0,2.0,72.0,57.0,1.0,3.0,50.0,88.0,18.0,10.0,32.0,68.0,62.0,46.0,89.0,9.0,31.0,85.0
234,2025-07-03 16:30:48.333884+00:00,0.1,0.1,27.0,14.0,67.0,56.0,18.0,23.0,75.0,67.0,72.0,70.0,98.0,52.0,4.0,50.0,47.0,91.0,22.0,23.0,42.0,49.0,8.0,70.0,3.0,28.0,82.0,38.0,66.0,38.0,49.0,9.0,4.0,10.0,83.0,11.0,14.0,12.0,52.0,91.0,15.0,85.0
235,2025-07-03 16:30:48.455051+00:00,0.1,0.1,56.0,8.0,49.0,89.0,36.0,84.0,41.0,35.0,61.0,44.0,84.0,71.0,59.0,26.0,68.0,99.0,27.0,57.0,43.0,14.0,62.0,79.0,68.0,29.0,54.0,100.0,58.0,0.0,92.0,29.0,100.0,16.0,60.0,3.0,25.0,83.0,24.0,19.0,66.0,88.0
236,2025-07-03 16:30:48.554106+00:00,0.1,0.1,71.0,72.0,67.0,70.0,42.0,17.0,37.0,5.0,41.0,88.0,38.0,69.0,95.0,66.0,2.0,13.0,34.0,89.0,69.0,66.0,27.0,21.0,42.0,7.0,65.0,87.0,20.0,16.0,47.0,87.0,82.0,61.0,21.0,3.0,93.0,32.0,72.0,16.0,55.0,4.0
237,2025-07-03 16:30:48.654454+00:00,0.1,0.1,13.0,9.0,47.0,80.0,28.0,13.0,28.0,13.0,92.0,94.0,60.0,71.0,22.0,52.0,24.0,15.0,18.0,37.0,55.0,23.0,59.0,94.0,90.0,82.0,4.0,31.0,90.0,20.0,79.0,81.0,100.0,37.0,46.0,20.0,66.0,71.0,58.0,54.0,2.0,48.0
238,2025-07-03 16:30:48.755233+00:00,0.1,0.1,97.0,46.0,84.0,93.0,90.0,92.0,55.0,92.0,19.0,22.0,61.0,20.0,42.0,39.0,96.0,75.0,55.0,77.0,45.0,51.0,39.0,70.0,0.0,9.0,1.0,86.0,96.0,56.0,24.0,33.0,7.0,18.0,84.0,44.0,97.0,11.0,95.0,96.0,78.0,31.0
239,2025-07-03 16:30:48.856139+00:00,0.1,0.1,13.0,1.0,81.0,46.0,58.0,96.0,94.0,27.0,77.0,10.0,7.0,17.0,3.0,84.0,81.0,39.0,56.0,89.0,50.0,55.0,71.0,26.0,90.0,26.0,71.0,49.0,58.0,70.0,92.0,54.0,56.0,65.0,12.0,95.0,76.0,27.0,37.0,87.0,90.0,37.0
240,2025-07-03 16:30:48.958757+00:00,0.1,0.1,50.0,51.0,65.0,77.0,69.0,43.0,90.0,81.0,49.0,50.0,40.0,4.0,73.0,63.0,13.0,42.0,36.0,5.0,33.0,82.0,2.0,0.0,19.0,49.0,79.0,83.0,7.0,34.0,78.0,76.0,30.0,76.0,81.0,47.0,98.0,72.0,54.0,82.0,4.0,4.0
241,2025-07-03 16:30:49.057357+00:00,0.1,0.1,19.0,81.0,14.0,18.0,94.0,86.0,55.0,4.0,82.0,3.0,98.0,47.0,70.0,88.0,81.0,65.0,23.0,53.0,77.0,80.0,51.0,39.0,3.0,70.0,30.0,18.0,14.0,77.0,75.0,0.0,2.0,67.0,39.0,86.0,13.0,10.0,52.0,16.0,90.0,3.0
242,2025-07-03 16:30:49.157392+00:00,0.1,0.1,19.0,38.0,72.0,92.0,70.0,4.0,74.0,89.0,15.0,72.0,75.0,5.0,82.0,47.0,31.0,42.0,22.0,5.0,30.0,18.0,26.0,17.0,78.0,14.0,8.0,38.0,20.0,62.0,0.0,63.0,14.0,23.0,18.0,33.0,23.0,46.0,85.0,1.0,38.0,46.0
243,2025-07-03 16:30:49.257794+00:00,0.1,0.1,54.0,12.0,36.0,20.0,64.0,74.0,76.0,87.0,76.0,19.0,23.0,27.0,90.0,99.0,79.0,97.0,51.0,48.0,82.0,96.0,29.0,2.0,15.0,70.0,18.0,84.0,67.0,3.0,35.0,93.0,2.0,78.0,51.0,52.0,70.0,6.0,23.0,35.0,95.0,66.0
244,2025-07-03 16:30:49.358852+00:00,0.1,0.1,76.0,42.0,47.0,2.0,89.0,100.0,14.0,18.0,53.0,8.0,76.0,41.0,97.0,47.0,56.0,23.0,81.0,90.0,73.0,29.0,3.0,22.0,37.0,88.0,8.0,92.0,61.0,90.0,12.0,85.0,8.0,98.0,57.0,77.0,73.0,50.0,83.0,33.0,20.0,26.0
245,2025-07-03 16:30:49.459712+00:00,0.1,0.1,49.0,46.0,82.0,50.0,60.0,51.0,9.0,25.0,42.0,88.0,19.0,64.0,2.0,74.0,18.0,17.0,71.0,53.0,47.0,45.0,14.0,63.0,48.0,40.0,75.0,28.0,7.0,74.0,73.0,56.0,55.0,22.0,35.0,62.0,100.0,48.0,73.0,95.0,14.0,52.0
246,2025-07-03 16:30:49.566653+00:00,0.1,0.1,76.0,94.0,64.0,91.0,22.0,46.0,80.0,9.0,81.0,54.0,28.0,2.0,73.0,21.0,5.0,39.0,50.0,81.0,39.0,25.0,60.0,4.0,53.0,24.0,82.0,25.0,93.0,8.0,37.0,31.0,8.0,100.0,93.0,94.0,15.0,14.0,22.0,45.0,19.0,74.0
247,2025-07-03 16:30:49.667593+00:00,0.1,0.1,87.0,23.0,59.0,9.0,32.0,67.0,13.0,25.0,40.0,43.0,25.0,47.0,39.0,69.0,82.0,54.0,54.0,68.0,94.0,20.0,89.0,87.0,39.0,38.0,52.0,13.0,7.0,55.0,14.0,31.0,97.0,21.0,44.0,83.0,33.0,70.0,20.0,15.0,5.0,82.0
248,2025-07-03 16:30:49.767565+00:00,0.1,0.1,25.0,18.0,56.0,98.0,63.0,41.0,47.0,0.0,8.0,7.0,83.0,23.0,33.0,61.0,84.0,54.0,1.0,16.0,70.0,91.0,45.0,46.0,66.0,88.0,7.0,51.0,22.0,94.0,63.0,12.0,80.0,18.0,41.0,87.0,19.0,81.0,81.0,9.0,39.0,32.0
249,2025-07-03 16:30:49.868349+00:00,0.1,0.1,76.0,4.0,35.0,33.0,95.0,51.0,14.0,95.0,75.0,30.0,79.0,18.0,19.0,44.0,73.0,21.0,72.0,24.0,74.0,53.0,45.0,98.0,26.0,43.0,2.0,40.0,93.0,69.0,48.0,14.0,5.0,84.0,53.0,59.0,11.0,32.0,42.0,0.0,67.0,1.0
250,2025-07-03 16:30:50.006710+00:00,0.1,0.1,59.0,10.0,44.0,18.0,5.0,4.0,89.0,34.0,10.0,69.0,76.0,54.0,34.0,55.0,65.0,13.0,15.0,98.0,77.0,70.0,44.0,1.0,35.0,39.0,31.0,9.0,75.0,95.0,51.0,6.0,83.0,31.0,97.0,70.0,5.0,23.0,65.0,42.0,31.0,65.0
251,2025-07-03 16:30:50.080177+00:00,0.1,0.1,8.0,80.0,30.0,79.0,7.0,2.0,40.0,54.0,0.0,59.0,68.0,21.0,58.0,72.0,4.0,29.0,83.0,84.0,28.0,76.0,61.0,90.0,17.0,70.0,79.0,61.0,26.0,40.0,21.0,53.0,90.0,24.0,75.0,15.0,65.0,25.0,60.0,31.0,93.0,51.0
252,2025-07-03 16:30:50.181068+00:00,0.1,0.1,74.0,98.0,95.0,72.0,7.0,22.0,58.0,71.0,92.0,34.0,57.0,12.0,25.0,89.0,42.0,15.0,73.0,78.0,47.0,68.0,85.0,33.0,47.0,82.0,35.0,6.0,92.0,84.0,1.0,99.0,83.0,95.0,99.0,17.0,94.0,71.0,0.0,17.0,45.0,19.0
253,2025-07-03 16:30:50.281513+00:00,0.1,0.1,54.0,61.0,24.0,21.0,96.0,6.0,83.0,60.0,8.0,68.0,28.0,36.0,89.0,40.0,21.0,69.0,66.0,61.0,73.0,2.0,4.0,76.0,68.0,21.0,58.0,74.0,82.0,2.0,55.0,23.0,99.0,47.0,79.0,13.0,75.0,98.0,87.0,80.0,4.0,0.0
254,2025-07-03 16:30:50.382565+00:00,0.1,0.1,41.0,20.0,31.0,74.0,81.0,6.0,58.0,33.0,64.0,55.0,23.0,14.0,31.0,22.0,81.0,33.0,83.0,40.0,74.0,51.0,78.0,63.0,64.0,66.0,40.0,90.0,53.0,35.0,100.0,37.0,83.0,6.0,31.0,83.0,17.0,77.0,82.0,81.0,0.0,28.0
255,2025-07-03 16:30:50.483877+00:00,0.1,0.1,22.0,61.0,0.0,4.0,25.0,45.0,91.0,29.0,7.0,91.0,83.0,75.0,92.0,23.0,18.0,19.0,10.0,25.0,28.0,50.0,4.0,37.0,73.0,55.0,88.0,13.0,23.0,1.0,41.0,88.0,56.0,47.0,90.0,84.0,60.0,40.0,12.0,77.0,23.0,9.0
256,2025-07-03 16:30:50.584209+00:00,0.1,0.1,25.0,79.0,32.0,55.0,27.0,57.0,23.0,89.0,93.0,71.0,2.0,87.0,39.0,92.0,12.0,33.0,49.0,37.0,64.0,13.0,98.0,33.0,25.0,20.0,10.0,78.0,20.0,73.0,52.0,94.0,7.0,39.0,91.0,89.0,13.0,96.0,15.0,45.0,28.0,75.0
257,2025-07-03 16:30:50.710550+00:00,0.1,0.1,36.0,6.0,58.0,30.0,43.0,71.0,54.0,8.0,41.0,12.0,36.0,68.0,4.0,4.0,51.0,34.0,26.0,11.0,97.0,12.0,90.0,85.0,21.0,16.0,6.0,80.0,31.0,28.0,40.0,11.0,18.0,70.0,95.0,86.0,19.0,50.0,49.0,2.0,26.0,20.0
258,2025-07-03 16:30:50.786355+00:00,0.1,0.1,41.0,63.0,75.0,97.0,79.0,48.0,0.0,93.0,79.0,40.0,44.0,19.0,24.0,100.0,52.0,73.0,57.0,25.0,46.0,25.0,58.0,99.0,85.0,33.0,98.0,33.0,57.0,72.0,92.0,39.0,39.0,64.0,41.0,5.0,63.0,75.0,27.0,37.0,25.0,45.0
259,2025-07-03 16:30:50.885382+00:00,0.1,0.1,34.0,71.0,85.0,13.0,3.0,52.0,53.0,15.0,40.0,86.0,87.0,19.0,66.0,19.0,11.0,100.0,33.0,81.0,49.0,39.0,28.0,55.0,29.0,37.0,12.0,97.0,17.0,59.0,79.0,95.0,43.0,11.0,81.0,99.0,4.0,86.0,99.0,23.0,8.0,60.0
260,2025-07-03 16:30:51.048063+00:00,0.1,0.1,94.0,30.0,11.0,42.0,67.0,45.0,25.0,93.0,86.0,65.0,56.0,5.0,51.0,86.0,90.0,38.0,38.0,75.0,73.0,61.0,74.0,95.0,23.0,64.0,30.0,89.0,0.0,61.0,33.0,28.0,87.0,72.0,71.0,47.0,0.0,70.0,17.0,47.0,31.0,23.0
261,2025-07-03 16:30:51.104792+00:00,0.1,0.1,20.0,74.0,17.0,39.0,0.0,59.0,62.0,58.0,25.0,59.0,30.0,37.0,43.0,40.0,19.0,51.0,18.0,71.0,47.0,12.0,62.0,97.0,90.0,56.0,23.0,8.0,41.0,56.0,59.0,85.0,79.0,60.0,2.0,92.0,6.0,82.0,44.0,63.0,34.0,5.0
262,2025-07-03 16:30:51.206144+00:00,0.1,0.1,94.0,87.0,86.0,10.0,72.0,62.0,72.0,51.0,47.0,62.0,37.0,59.0,79.0,82.0,61.0,43.0,79.0,52.0,59.0,20.0,14.0,72.0,76.0,72.0,81.0,61.0,61.0,54.0,63.0,74.0,13.0,81.0,44.0,2.0,73.0,25.0,36.0,60.0,8.0,64.0
263,2025-07-03 16:30:51.307186+00:00,0.1,0.1,89.0,38.0,60.0,55.0,40.0,69.0,67.0,5.0,93.0,72.0,45.0,69.0,5.0,35.0,59.0,18.0,65.0,28.0,37.0,87.0,71.0,85.0,13.0,74.0,77.0,23.0,7.0,35.0,47.0,61.0,57.0,70.0,48.0,98.0,63.0,0.0,51.0,24.0,86.0,1.0
264,2025-07-03 16:30:51.436347+00:00,0.1,0.1,93.0,40.0,40.0,19.0,92.0,46.0,15.0,96.0,2.0,34.0,54.0,34.0,48.0,66.0,20.0,46.0,51.0,8.0,74.0,18.0,41.0,22.0,76.0,8.0,42.0,93.0,16.0,81.0,8.0,79.0,54.0,72.0,64.0,58.0,39.0,89.0,72.0,17.0,22.0,5.0
265,2025-07-03 16:30:51.524526+00:00,0.1,0.1,24.0,82.0,91.0,55.0,12.0,22.0,47.0,4.0,65.0,12.0,36.0,29.0,93.0,35.0,97.0,52.0,93.0,66.0,29.0,72.0,72.0,14.0,1.0,40.0,92.0,4.0,58.0,52.0,13.0,35.0,62.0,73.0,46.0,21.0,93.0,29.0,21.0,70.0,0.0,42.0
266,2025-07-03 16:30:51.626104+00:00,0.1,0.1,10.0,68.0,93.0,77.0,17.0,62.0,28.0,79.0,52.0,19.0,6.0,74.0,20.0,28.0,81.0,89.0,26.0,32.0,28.0,75.0,88.0,83.0,14.0,81.0,39.0,51.0,95.0,33.0,86.0,51.0,87.0,30.0,86.0,50.0,63.0,90.0,83.0,56.0,28.0,14.0
267,2025-07-03 16:30:51.774994+00:00,0.1,0.1,10.0,100.0,76.0,16.0,10.0,10.0,66.0,94.0,31.0,68.0,23.0,83.0,43.0,77.0,29.0,23.0,19.0,85.0,24.0,49.0,100.0,33.0,99.0,73.0,38.0,24.0,97.0,30.0,90.0,58.0,57.0,52.0,26.0,51.0,59.0,100.0,100.0,88.0,53.0,19.0
268,2025-07-03 16:30:51.864627+00:00,0.1,0.1,53.0,79.0,26.0,11.0,43.0,51.0,49.0,82.0,51.0,51.0,78.0,1.0,90.0,72.0,14.0,5.0,71.0,44.0,20.0,26.0,46.0,28.0,71.0,21.0,25.0,82.0,52.0,48.0,29.0,12.0,55.0,53.0,84.0,20.0,49.0,29.0,70.0,4.0,6.0,85.0
269,2025-07-03 16:30:51.954822+00:00,0.1,0.1,26.0,21.0,39.0,52.0,20.0,32.0,77.0,73.0,7.0,47.0,2.0,77.0,54.0,28.0,76.0,8.0,34.0,66.0,49.0,52.0,74.0,72.0,49.0,69.0,92.0,32.0,26.0,9.0,10.0,64.0,59.0,32.0,37.0,28.0,46.0,50.0,12.0,25.0,78.0,11.0
270,2025-07-03 16:30:52.078009+00:00,0.1,0.1,61.0,85.0,42.0,76.0,81.0,15.0,13.0,10.0,88.0,16.0,17.0,66.0,28.0,75.0,8.0,52.0,78.0,93.0,4.0,9.0,68.0,0.0,42.0,70.0,30.0,50.0,91.0,44.0,17.0,23.0,53.0,58.0,15.0,52.0,6.0,93.0,53.0,58.0,34.0,76.0
271,2025-07-03 16:30:52.174636+00:00,0.1,0.1,100.0,17.0,23.0,92.0,77.0,0.0,51.0,89.0,47.0,95.0,48.0,55.0,5.0,26.0,93.0,45.0,58.0,53.0,43.0,59.0,94.0,100.0,46.0,100.0,73.0,36.0,61.0,100.0,20.0,38.0,3.0,23.0,16.0,80.0,32.0,30.0,69.0,1.0,58.0,20.0
272,2025-07-03 16:30:52.275203+00:00,0.1,0.1,39.0,7.0,26.0,35.0,20.0,35.0,4.0,11.0,58.0,49.0,41.0,75.0,93.0,40.0,55.0,72.0,20.0,9.0,21.0,53.0,37.0,49.0,19.0,81.0,32.0,29.0,72.0,0.0,37.0,35.0,83.0,6.0,70.0,37.0,53.0,99.0,89.0,42.0,85.0,70.0
273,2025-07-03 16:30:52.375829+00:00,0.1,0.1,68.0,69.0,86.0,51.0,95.0,87.0,0.0,36.0,47.0,47.0,97.0,31.0,79.0,29.0,100.0,83.0,90.0,50.0,73.0,25.0,0.0,1.0,30.0,64.0,2.0,38.0,90.0,4.0,8.0,66.0,70.0,63.0,48.0,92.0,80.0,84.0,1.0,39.0,43.0,95.0
274,2025-07-03 16:30:52.476493+00:00,0.1,0.1,72.0,65.0,23.0,98.0,18.0,59.0,51.0,44.0,24.0,62.0,43.0,1.0,83.0,38.0,19.0,7.0,97.0,45.0,46.0,63.0,18.0,84.0,55.0,23.0,56.0,92.0,32.0,77.0,90.0,68.0,50.0,84.0,18.0,49.0,86.0,96.0,75.0,59.0,35.0,75.0
275,2025-07-03 16:30:52.577648+00:00,0.1,0.1,37.0,29.0,95.0,9.0,13.0,57.0,3.0,32.0,45.0,17.0,26.0,74.0,38.0,25.0,62.0,32.0,20.0,27.0,30.0,46.0,97.0,45.0,81.0,7.0,48.0,96.0,14.0,54.0,29.0,54.0,87.0,41.0,78.0,27.0,61.0,59.0,4.0,77.0,79.0,10.0
276,2025-07-03 16:30:52.677660+00:00,0.1,0.1,18.0,79.0,94.0,8.0,75.0,41.0,57.0,53.0,7.0,33.0,43.0,46.0,33.0,36.0,57.0,90.0,64.0,4.0,71.0,50.0,73.0,0.0,82.0,89.0,51.0,55.0,42.0,23.0,82.0,6.0,94.0,33.0,3.0,43.0,74.0,11.0,100.0,72.0,71.0,82.0
277,2025-07-03 16:30:52.778152+00:00,0.1,0.1,1.0,26.0,97.0,52.0,35.0,36.0,56.0,12.0,12.0,41.0,3.0,68.0,86.0,6.0,78.0,21.0,39.0,6.0,31.0,14.0,81.0,0.0,70.0,10.0,54.0,8.0,22.0,72.0,26.0,3.0,20.0,73.0,76.0,19.0,50.0,21.0,95.0,50.0,84.0,67.0
278,2025-07-03 16:30:52.883205+00:00,0.1,0.1,84.0,78.0,56.0,73.0,12.0,30.0,17.0,62.0,83.0,20.0,60.0,13.0,6.0,54.0,58.0,18.0,43.0,53.0,50.0,95.0,36.0,17.0,91.0,54.0,43.0,45.0,80.0,8.0,36.0,57.0,73.0,40.0,80.0,73.0,15.0,81.0,26.0,95.0,18.0,31.0
279,2025-07-03 16:30:52.984400+00:00,0.1,0.1,40.0,9.0,98.0,19.0,86.0,76.0,81.0,26.0,76.0,43.0,45.0,11.0,60.0,88.0,60.0,11.0,26.0,29.0,50.0,72.0,29.0,6.0,7.0,63.0,15.0,56.0,40.0,13.0,68.0,78.0,9.0,78.0,67.0,46.0,97.0,12.0,87.0,29.0,16.0,62.0
280,2025-07-03 16:30:53.109224+00:00,0.1,0.1,6.0,62.0,65.0,86.0,62.0,82.0,86.0,38.0,70.0,4.0,31.0,95.0,97.0,23.0,35.0,17.0,81.0,33.0,3.0,75.0,87.0,74.0,23.0,19.0,84.0,85.0,15.0,48.0,39.0,62.0,10.0,83.0,28.0,43.0,67.0,62.0,7.0,40.0,99.0,90.0
281,2025-07-03 16:30:53.202487+00:00,0.1,0.1,68.0,9.0,24.0,5.0,34.0,47.0,84.0,50.0,55.0,65.0,93.0,63.0,48.0,88.0,1.0,6.0,36.0,48.0,48.0,97.0,13.0,2.0,22.0,84.0,24.0,99.0,15.0,67.0,39.0,81.0,52.0,93.0,42.0,74.0,5.0,88.0,70.0,19.0,16.0,45.0
